sources_sourceID,river,city,state,country,region,measurement_location,exact_lat,exact_lng,street_number,street_name,street_lat,street_lng,feature_class,miles_from_site,post_code,place_name,county_number,county_name,state_name,agency,agency_id,full_site_name,unique_site_name
0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1," Salmon River Efsf","Valley County",ID,"United States",West," Stibnite Rd",44.93477778,-115.33669440,,"Stibnite Rd",44.93454,-115.3369,S1400,0.03,,,85,Valley,Idaho,USGS,13311250," Salmon River Efsf @ Valley County, ID"," Salmon River Efsf @ Valley County, ID"
2,"003S028E34Rs01M Hot","Mono County",CA,"United States",West," School Rd",37.63937816,-118.86318690,,"School Rd",37.63854,-118.8628,S1400,0.1,,,51,Mono,California,USGS,373822118514401,"003S028E34Rs01M Hot @ Mono County, CA","003S028E34Rs01M Hot @ Mono County, CA"
3,"014S021E17P001M ",Fresno,CA,"United States",West,"5414 E Kaviland, ZIP: 93725",36.70972220,-119.70872220,5414,"E Kaviland",36.71005,-119.70872,S1400,0.04,93725,Fresno,19,Fresno,California,USGS,364200119420002,"014S021E17P001M  @ Fresno, CA","014S021E17P001M  @ Fresno, CA"
4,"014S021E17Q001M ",Fresno,CA,"United States",West," S Minnewawa",36.70952778,-119.70900000,,"S Minnewawa",36.70952,-119.70917,S1400,0.02,,Fresno,19,Fresno,California,USGS,364200119420001,"014S021E17Q001M  @ Fresno, CA","014S021E17Q001M  @ Fresno, CA"
5,"016S020E14C001S ","Imperial County",CA,"United States",West," Ogilby Rd",32.77694910,-114.83725560,,"Ogilby Rd",32.77695,-114.83694,S1400,0.03,,,25,Imperial,California,USGS,324630114501501,"016S020E14C001S  @ Imperial County, CA","016S020E14C001S  @ Imperial County, CA"
6,"016S020E49R001S ","Imperial County",CA,"United States",West,,32.74070297,-114.88675240,,,32.74067,-114.88673,S1400,0,,,25,Imperial,California,USGS,324426114530901,"016S020E49R001S  @ Imperial County, CA","016S020E49R001S  @ Imperial County, CA"
7,"016S020E51F001S ","Imperial County",CA,"United States",West,,32.74732769,-114.86405120,,,32.74713,-114.86415,S1400,0.02,,,25,Imperial,California,USGS,324450114515101,"016S020E51F001S  @ Imperial County, CA","016S020E51F001S  @ Imperial County, CA"
8,"016S020E58J001S ",,N/A,,N/A,,32.71347869,-114.83486350,,,,,,,,,,,,USGS,324248114500601,"016S020E58J001S ","016S020E58J001S "
9,"016S021E30E001S ",,N/A,,N/A,,32.73926110,-114.80670100,,,,,,,,,,,,USGS,324421114482101,"016S021E30E001S ","016S021E30E001S "
