resin_product_id,manufacturer,name,model_number,resin_type,primary_type,group,teir,chemical_structure,physical_structure,color,total_capacity,salt_split_CAP,price_per_cuft,comments
1,Purolite,Purofine,PFA200,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.03,"Regeneration Efficient Demineralization - Uniform Sized"
2,Purolite,Purofine,PFA300,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.04,"Demineralization with High Regeneration Efficiency - Uniformly Sized"
3,Purolite,Purofine,PFA400,N/A,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.05,"Regeneration Efficient Demineralization - Uniform Sized"
4,Purolite,Purofine,PFA400MB,N/A,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.06,"Demineralization - Uniform Particle Size Mixed Bed Grade Anion Component"
5,Purolite,Purofine,PFA400OH,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.07,"Regeneration Efficient Demineralization - Uniformly Sized"
6,Purolite,Purofine,PFA444,N/A,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,24,N/A,00.08,"Removal of Organic Matter from Industrial & Domestic Water Supplies"
7,Purolite,Purofine,PFA460/4783,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.09,"Uranium Extraction"
8,Purolite,Purofine,PFA600,N/A,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.10,"Regeneration Efficient Demineralization - Uniformly Sized"
9,Purolite,Purofine,PFA600/4740,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,34.9,N/A,00.11,"High Capacity For Uranium Recovery - Uniformly Sized"
10,Purolite,Purofine,PFA600OH,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.12,"Higher Capacity Demineralization Employing Uniform Particle Size Beads"
11,Purolite,Purofine,PFA850,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,27.3,N/A,00.13,"Regeneration Efficient Demineralization - Narrow Size Grading - Excellent Resistance to Organic Fouling"
12,Purolite,Purolite,A200,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.14,"Demineralization with High Regeneration Efficiency"
13,Purolite,Purolite,A200C,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.15,"Demineralization with High Regeneration Efficiency"
14,Purolite,Purolite,A200DL,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.16,"Demineralization with High Regeneration Efficiency - Layered Bed"
15,Purolite,Purolite,A200MB,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.17,"Demineralization with High Regeneration Efficiency - Mixed Beds"
16,Purolite,Purolite,A200MBOH,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.18,"Demineralization with High Regeneration Efficiency - Mixed Beds"
17,Purolite,Purolite,A200MBOHIND,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.19,"Water Treatment at High Regeneration Efficiency - Mixed Beds - Indicator"
18,Purolite,Purolite,A300,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.20,"Demineralization with High Regeneration Efficiency - Food Grade"
19,Purolite,Purolite,A300E,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.21,"Regeneration Efficient Demineralization - Food Grade for Potable water; Dealkalization; Nitrate and or Sulfate removal"
20,Purolite,Purolite,A300MB,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.22,"Demineralization with High Regeneration Efficiency"
21,Purolite,Purolite,A300MBOH,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.23,"Demineralization with High Regeneration Efficiency - Mixed Beds"
22,Purolite,Purolite,A300OH,2,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.24,"Demineralization with High Regeneration Efficiency"
23,Purolite,Purolite,A400,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.25,"Regeneration Efficient Demineralization / Silica Removal"
24,Purolite,Purolite,A400DL,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.26,"Regeneration Efficient Demineralization / Silica Removal - Layered Beds"
25,Purolite,Purolite,A400E,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.27,"Regeneration Efficient Demineralization - Mixed Beds - Food grade"
26,Purolite,Purolite,A400FL,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.28,"Regeneration Efficient Demineralization - Packed Bed Grading"
27,Purolite,Purolite,A400MB,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.29,"Regeneration Efficient Demineralization/Silica Removal - Mixed Beds"
28,Purolite,Purolite,A400MBOH,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.30,"Regeneration Efficient Demineralization / Silica Removal - Mixed Beds"
29,Purolite,Purolite,A400MBOHIND,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.31,"Regeneration Efficient Demineralization - Mixed Beds - Indicator"
30,Purolite,Purolite,A400OH,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.32,"Regeneration Efficient Demineralization / Silica Removal"
31,Purolite,Purolite,A400S,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.33,"Sugar Applications"
32,Purolite,Purolite,A400TL,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.34,"Regeneration Efficient Demineralization / Silica Removal - Trilite Mixed Beds"
33,Purolite,Purolite,A400TLSO4,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.35,"Regeneration Efficient Demineralization / Silica Removal - Trilite Mixed Beds"
34,Purolite,Purolite,A400DL/4880,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.36,"Layered Packed Bed Demineralization"
35,Purolite,Purolite,A420S,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,17.5,N/A,00.37,"Reversible Uptake of Large Organic Molecules - Sugar Syrups"
36,Purolite,Purolite,A444,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,24,N/A,00.38,"Removal of Organic Matter from Inductrial & Domestic Water Supplies"
37,Purolite,Purolite,A444DL,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,24,N/A,00.39,"Removal of Organic Matter from Industrial & Domestic Water Supplies - Layered Bed"
38,Purolite,Purolite,A532E,N/A,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,17.5,N/A,00.40,"Highly Selective for Perchlorate, Pertechnetate and other hydrophobic anions"
39,Purolite,Purolite,A600,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.41,"Regeneration Efficient Demineralization/Silica Removal"
40,Purolite,Purolite,A600C,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.42,"Efficient Demineralization / Silica Removal"
41,Purolite,Purolite,A600E,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.43,"Efficient Demineralization/Silica Removal - Food Grade"
42,Purolite,Purolite,A600E/9149,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,1.6eq/l,N/A,00.44,"Efficient Demineralization Food Grade; Effective removal of hexavalent chromium, nitrate, uranium and sulfate from potable water"
43,Purolite,Purolite,A600MB,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.45,"Efficient Demineralization / Silica Removal - Mixed Beds"
44,Purolite,Purolite,A600MBOH,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.46,"Efficient Demineralization / Silica Removal - Mixed Beds"
45,Purolite,Purolite,A600MBOHIND,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.47,"Efficient Demineralization / Silica Removal - Mixed Beds - Indicator"
46,Purolite,Purolite,A600OH,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.48,"Higher Capacity Demineralization - Excellent Silica Removal"
47,Purolite,Purolite,A600U/3472,1,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,30.6,N/A,00.49,"Uranium Extraction"
48,Purolite,Purolite,A660/4759,N/A,SBA,N/A,"Teir 1",Styrenic,Gel,N/A,28.4,N/A,00.50,"Uranium Extraction"
