sources_sourceID,river,city,state,country,region,measurement_location,exact_lat,exact_lng,street_number,street_name,street_lat,street_lng,feature_class,miles_from_site,post_code,place_name,county_number,county_name,state_name,agency,agency_id,full_site_name,unique_site_name
0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1," Salmon River Efsf","Valley County",ID,"United States",West," Stibnite Rd",44.93477778,-115.3366944,,"Stibnite Rd",44.93454,-115.3369,S1400,0.03,,,85,Valley,Idaho,USGS,13311250," Salmon River Efsf @ Valley County, ID"," Salmon River Efsf @ Valley County, ID"
2,"003S028E34Rs01M Hot","Mono County",CA,"United States",West," School Rd",37.63937816,-118.8631869,,"School Rd",37.63854,-118.8628,S1400,0.1,,,51,Mono,California,USGS,3.74E+14,"003S028E34Rs01M Hot @ Mono County, CA","003S028E34Rs01M Hot @ Mono County, CA"
3,"014S021E17P001M ",Fresno,CA,"United States",West,"5414 E Kaviland, ZIP: 93725",36.7097222,-119.7087222,5414,"E Kaviland",36.71005,-119.70872,S1400,0.04,93725,Fresno,19,Fresno,California,USGS,3.64E+14,"014S021E17P001M  @ Fresno, CA","014S021E17P001M  @ Fresno, CA"
4,"014S021E17Q001M ",Fresno,CA,"United States",West," S Minnewawa",36.70952778,-119.709,,"S Minnewawa",36.70952,-119.70917,S1400,0.02,,Fresno,19,Fresno,California,USGS,3.64E+14,"014S021E17Q001M  @ Fresno, CA","014S021E17Q001M  @ Fresno, CA"
5,"016S020E14C001S ","Imperial County",CA,"United States",West," Ogilby Rd",32.7769491,-114.8372556,,"Ogilby Rd",32.77695,-114.83694,S1400,0.03,,,25,Imperial,California,USGS,3.25E+14,"016S020E14C001S  @ Imperial County, CA","016S020E14C001S  @ Imperial County, CA"
6,"016S020E49R001S ","Imperial County",CA,"United States",West,,32.74070297,-114.8867524,,,32.74067,-114.88673,S1400,0,,,25,Imperial,California,USGS,3.24E+14,"016S020E49R001S  @ Imperial County, CA","016S020E49R001S  @ Imperial County, CA"
7,"016S020E51F001S ","Imperial County",CA,"United States",West,,32.74732769,-114.8640512,,,32.74713,-114.86415,S1400,0.02,,,25,Imperial,California,USGS,3.24E+14,"016S020E51F001S  @ Imperial County, CA","016S020E51F001S  @ Imperial County, CA"
8,"016S020E58J001S ",,N/A,,N/A,,32.71347869,-114.8348635,,,,,,,,,,,,USGS,3.24E+14,"016S020E58J001S ","016S020E58J001S "
9,"016S021E30E001S ",,N/A,,N/A,,32.7392611,-114.806701,,,,,,,,,,,,USGS,3.24E+14,"016S021E30E001S ","016S021E30E001S "
10,"082N07W33Caa 1990Till","Cedar Rapids",IA,"United States",Midwest," I- 380",41.87195075,-91.6673989,,"I- 380",41.87173,-91.66972,S1100,0.19,,"Cedar Rapids",113,Linn,Iowa,USGS,4.15E+14,"082N07W33Caa 1990Till @ Cedar Rapids, IA","082N07W33Caa 1990Till @ Cedar Rapids, IA"
11,"17S.05W.13.22 ",,N/A,,N/A,,32.834425,-107.3033333,,,,,,,,,,,,USGS,3.25E+14,"17S.05W.13.22 ","17S.05W.13.22 "
12,"19S.02W.16.3213 ","Doña Ana County",NM,"United States",Southwest,,32.6543472,-107.0550972,,,32.65427,-107.05483,S1400,0.03,,,13,"Doña Ana","New Mexico",USGS,3.24E+14,"19S.02W.16.3213  @ Doña Ana County, NM","19S.02W.16.3213  @ Doña Ana County, NM"
13,"19S.02W.17.1414 ","Doña Ana County",NM,"United States",Southwest," Kit Carson Rd, ZIP: 87940",32.6582,-107.0710056,,"Kit Carson Rd",32.65794,-107.0711,S1400,0.03,87940,,13,"Doña Ana","New Mexico",USGS,3.24E+14,"19S.02W.17.1414  @ Doña Ana County, NM","19S.02W.17.1414  @ Doña Ana County, NM"
14,"19S.02W.21.443 ","Doña Ana County",NM,"United States",Southwest,"445 Polvadera Rd, ZIP: 87940",32.63456389,-107.0452583,445,"Polvadera Rd",32.63454,-107.04526,S1400,0,87940,,13,"Doña Ana","New Mexico",USGS,3.24E+14,"19S.02W.21.443  @ Doña Ana County, NM","19S.02W.21.443  @ Doña Ana County, NM"
15,"19S.02W.26.4424 ","Doña Ana County",NM,"United States",Southwest," Kit Carson Rd",32.62209167,-107.0079306,,"Kit Carson Rd",32.62212,-107.00792,S1400,0,,,13,"Doña Ana","New Mexico",USGS,3.24E+14,"19S.02W.26.4424  @ Doña Ana County, NM","19S.02W.26.4424  @ Doña Ana County, NM"
16,"19S.03W.07.131A ","Doña Ana County",NM,"United States",Southwest," Cedar Grove St",32.67305833,-107.1962056,,"Cedar Grove St",32.67306,-107.19631,S1400,0.01,,,13,"Doña Ana","New Mexico",USGS,3.24E+14,"19S.03W.07.131A  @ Doña Ana County, NM","19S.03W.07.131A  @ Doña Ana County, NM"
17,"19S.04W.01.214 H-13","Doña Ana County",NM,"United States",Southwest," River Levee",32.69014167,-107.2029389,,"River Levee",32.69013,-107.20295,S1400,0,,,13,"Doña Ana","New Mexico",USGS,3.24E+14,"19S.04W.01.214 H-13 @ Doña Ana County, NM","19S.04W.01.214 H-13 @ Doña Ana County, NM"
18,"23S 43W","Hamilton County",KS,"United States",Midwest," Co Rd CC 8/10",38.02141667,-102.0439444,,"Co Rd CC 8/10",38.02142,-102.04441,S1400,0.04,,,75,Hamilton,Kansas,USGS,3.80E+14,"23S 43W @ Hamilton County, KS","23S 43W @ Hamilton County, KS"
19,"24S 03W","Harvey County",KS,"United States",Midwest," S Willow Lake Rd, RB1-MS Deep ",37.9983448,-97.6109326,,"S Willow Lake Rd",37.99835,-97.61039,S1400,0.05,,,79,Harvey,Kansas,USGS,3.76E+14,"24S 03W @ Harvey County, KS","24S 03W @ Harvey County, KS near  S Willow Lake Rd, RB1-MS Deep "
20,"24S 03W","Harvey County",KS,"United States",Midwest," S Willow Lake Rd, RB1-MS Shallow",37.9983448,-97.6109326,,"S Willow Lake Rd",37.99835,-97.61039,S1400,0.05,,,79,Harvey,Kansas,USGS,3.76E+14,"24S 03W @ Harvey County, KS","24S 03W @ Harvey County, KS near  S Willow Lake Rd, RB1-MS Shallow"
21,"24S 43W",,N/A,,N/A,,37.99330556,-102.0441389,,,,,,,,,,,,USGS,3.76E+14,"24S 43W","24S 43W"
22,"25S 01W","Sedgwick County",KS,"United States",Midwest,"11260 N 119th St W, ZIP: 67135 (DMW-S10 NR)",37.8908451,-97.4819872,11260,"N 119th St W",37.89085,-97.48214,S1400,0.01,67135,,173,Sedgwick,Kansas,USGS,3.75E+14,"25S 01W @ Sedgwick County, KS","25S 01W @ Sedgwick County, KS near 11260 N 119th St W, ZIP: 67135 (DMW-S10 NR)"
23,"25S 01W","Sedgwick County",KS,"United States",Midwest,"11260 N 119th St W, ZIP: 67135 (SMW-S11 NR)",37.8908451,-97.4819872,11260,"N 119th St W",37.89085,-97.48214,S1400,0.01,67135,,173,Sedgwick,Kansas,USGS,3.75E+14,"25S 01W @ Sedgwick County, KS","25S 01W @ Sedgwick County, KS near 11260 N 119th St W, ZIP: 67135 (SMW-S11 NR)"
24,"25S 01W","Sedgwick County",KS,"United States",Midwest,"11308 N 119th St W, ZIP: 67135 (DMW-S14 NR)",37.89223399,-97.4803204,11308,"N 119th St W",37.89224,-97.48213,S1400,0.16,67135,,173,Sedgwick,Kansas,USGS,3.75E+14,"25S 01W @ Sedgwick County, KS","25S 01W @ Sedgwick County, KS near 11308 N 119th St W, ZIP: 67135 (DMW-S14 NR)"
25,"25S 01W","Sedgwick County",KS,"United States",Midwest,"11308 N 119th St W, ZIP: 67135 (SMW-S13 NR)",37.89223399,-97.4803204,11308,"N 119th St W",37.89224,-97.48213,S1400,0.16,67135,,173,Sedgwick,Kansas,USGS,3.75E+14,"25S 01W @ Sedgwick County, KS","25S 01W @ Sedgwick County, KS near 11308 N 119th St W, ZIP: 67135 (SMW-S13 NR)"
26,34H505,Brunswick,GA,"United States",Southeast,"571 Newcastle St, ZIP: 31520",31.13634196,-81.4909336,571,"Newcastle St",31.13643,-81.49069,S1200,0.02,31520,Brunswick,127,Glynn,Georgia,USGS,3.11E+14,"34H505  @ Brunswick, GA","34H505  @ Brunswick, GA"
27,34H514,Brunswick,GA,"United States",Southeast,"2001 I St, ZIP: 31520",31.1586111,-81.4861111,2001,"I St",31.15759,-81.48549,S1400,0.13,31520,Brunswick,127,Glynn,Georgia,USGS,3.11E+14,"34H514  @ Brunswick, GA","34H514  @ Brunswick, GA"
28,37N11E-19.1D,Lemont,IL,"United States",Midwest,"16177 Donohoe Rd, ZIP: 60439",41.67777778,-88.0116667,16177,"Donohoe Rd",41.67776,-88.01166,S1400,0,60439,Lemont,31,Cook,Illinois,USGS,4.14E+14,"37N11E-19.1D  @ Lemont, IL","37N11E-19.1D  @ Lemont, IL"
29,37N11E-20.8D1,Lemont,IL,"United States",Midwest,"16000 Donohoe Rd, ZIP: 60439",41.67687778,-88.0088917,16000,"Donohoe Rd",41.67828,-88.00906,S1400,0.16,60439,Lemont,31,Cook,Illinois,USGS,4.14E+14,"37N11E-20.8D1  @ Lemont, IL","37N11E-20.8D1  @ Lemont, IL"
30,37N11E-20.8E,Lemont,IL,"United States",Midwest,"15996 Donohoe Rd, ZIP: 60439",41.67825556,-88.0089778,15996,"Donohoe Rd",41.67829,-88.00898,S1400,0,60439,Lemont,31,Cook,Illinois,USGS,4.14E+14,"37N11E-20.8E  @ Lemont, IL","37N11E-20.8E  @ Lemont, IL"
31,40N7E-18.3H,"Lily Lake",IL,"United States",Midwest,"State Rte 47",41.9536111,-88.4798333,,"State Rte 47",41.95363,-88.47777,S1200,0.17,,"Lily Lake",89,Kane,Illinois,USGS,4.16E+14,"40N7E-18.3H  @ Lily Lake, IL","40N7E-18.3H  @ Lily Lake, IL"
32,"43N5E-27.4H1 (14-Ril-S)","McHenry County",IL,"United States",Midwest,"22553 Harmony Rd, ZIP: 60152",42.1822222,-88.6355556,22553,"Harmony Rd",42.18247,-88.6356,S1400,0.03,60152,,111,McHenry,Illinois,USGS,4.21E+14,"43N5E-27.4H1 (14-Ril-S) @ McHenry County, IL","43N5E-27.4H1 (14-Ril-S) @ McHenry County, IL"
33,"44N5E-30.8C1 (10-Mar-S)",,N/A,,N/A,MAR,42.25916667,-88.705,,,,,,,,,,,,USGS,4.22E+14,"44N5E-30.8C1 (10-Mar-S)","44N5E-30.8C1 (10-Mar-S)"
34,44N9E-20.7C,"Island Lake",IL,"United States",Midwest,"827 Quincy Ct, ZIP: 60042",42.2760833,-88.2163333,827,"Quincy Ct",42.27609,-88.21633,S1400,0,60042,"Island Lake",111,McHenry,Illinois,USGS,4.22E+14,"44N9E-20.7C  @ Island Lake, IL","44N9E-20.7C  @ Island Lake, IL"
35,"45N8E-17.7H1 (9-Mch-S)","McHenry County",IL,"United States",Midwest,"6917 McCullom Lake Rd, ZIP: 60097",42.38555556,-88.3322222,6917,"McCullom Lake Rd",42.38564,-88.33222,S1400,0.01,60097,,111,McHenry,Illinois,USGS,4.22E+14,"45N8E-17.7H1 (9-Mch-S) @ McHenry County, IL","45N8E-17.7H1 (9-Mch-S) @ McHenry County, IL"
36,"46N8E-08.2E1 (4-Rch-S)","McHenry County",IL,"United States",Midwest,"6300 Kenosha St, ZIP: 60071",42.48,-88.3194444,6300,"Kenosha St",42.47965,-88.31944,S1200,0.04,60071,,111,McHenry,Illinois,USGS,4.23E+14,"46N8E-08.2E1 (4-Rch-S) @ McHenry County, IL","46N8E-08.2E1 (4-Rch-S) @ McHenry County, IL"
37,"8-4161-01 Kaho",Kalaoa,HI,"United States",N/A,,19.68723889,-156.0291639,,,19.68585,-156.02922,S1500,0.15,,Kalaoa,1,Hawaii,Hawaii,USGS,1.94E+14,"8-4161-01 Kaho @ Kalaoa, HI","8-4161-01 Kaho @ Kalaoa, HI"
38,"8-4161-02 Kaho",Kalaoa,HI,"United States",N/A,,19.68584444,-156.0236139,,,19.68577,-156.0236,S1500,0.01,,Kalaoa,1,Hawaii,Hawaii,USGS,1.94E+14,"8-4161-02 Kaho @ Kalaoa, HI","8-4161-02 Kaho @ Kalaoa, HI"
39,"Abercorn Creek",,N/A,,N/A,,32.24916667,-81.1536111,,,,,,,,,,,,USGS,2198820,"Abercorn Creek","Abercorn Creek"
40,"Abercorn Creek","Effingham County",GA,"United States",Southeast,"401 Abercorn Rd, ZIP: 31326",32.2557537,-81.1781687,401,"Abercorn Rd",32.2561,-81.17868,S1400,0.06,31326,,103,Effingham,Georgia,USGS,2198810,"Abercorn Creek @ Effingham County, GA","Abercorn Creek @ Effingham County, GA"
41,"Accotink Creek",Fairfax,VA,"United States",Southeast,"Ranger Rd",38.86624167,-77.2863833,,"Ranger Rd",38.86655,-77.28636,S1400,0.03,,Fairfax,600,"Fairfax (city)",Virginia,USGS,165389205,"Accotink Creek @ Fairfax, VA","Accotink Creek @ Fairfax, VA near  Ranger Rd"
42,"Accotink Creek",Fairfax,VA,"United States",Southeast,"3301 Old Lee Hwy, ZIP: 22030",38.86133889,-77.2769083,3301,"Old Lee Hwy",38.86172,-77.27743,S1400,0.06,22030,Fairfax,600,"Fairfax (city)",Virginia,USGS,165389480,"Accotink Creek @ Fairfax, VA","Accotink Creek @ Fairfax, VA near 3301 Old Lee Hwy, ZIP: 22030"
43,"Accotink Creek",Ravensworth,VA,"United States",Southeast,"8192 Braddock Rd, ZIP: 22151",38.81289066,-77.2283158,8192,"Braddock Rd",38.81116,-77.2283,S1400,0.19,22151,Ravensworth,59,Fairfax,Virginia,USGS,1654000,"Accotink Creek @ Ravensworth, VA","Accotink Creek @ Ravensworth, VA"
44,"Adair Creek",Independence,MO,"United States",Midwest,"4307 S 71 Byp, ZIP: 64055",39.03777778,-94.3633333,4307,"S 71 Byp",39.03778,-94.3634,S1400,0.01,64055,Independence,95,Jackson,Missouri,USGS,6893830,"Adair Creek @ Independence, MO","Adair Creek @ Independence, MO"
45,"Adobe Creek","Mesa County",CO,"United States",West,"1919 US Hwy 6, ZIP: 81521",39.1369254,-108.6973205,1919,"US Hwy 6",39.13701,-108.69728,S1200,0.01,81521,,77,Mesa,Colorado,USGS,9152900,"Adobe Creek @ Mesa County, CO","Adobe Creek @ Mesa County, CO"
46,"Ady Canal",,N/A,,N/A,WORDEN,42.08989167,-121.8643639,,,,,,,,,,,,USGS,4.21E+14,"Ady Canal","Ady Canal"
47,"Agency Lake",,N/A,,N/A,"NORTH - AGN",42.5595802,-121.9464057,,,,,,,,,,,,USGS,4.23E+14,"Agency Lake","Agency Lake near NORTH - AGN"
48,"Agency Lake",,N/A,,N/A,"SOUTH - AGS",42.52344136,-121.9854062,,,,,,,,,,,,USGS,4.23E+14,"Agency Lake","Agency Lake near SOUTH - AGS"
49,Aiw,"Horry County",SC,"United States",Southeast,"1062 Waterway Ln, ZIP: 29572",33.7985057,-78.75307469,1062,"Waterway Ln",33.79749,-78.7542,S1400,0.15,29572,,51,Horry,"South Carolina",USGS,2110755,"Aiw  @ Horry County, SC","Aiw  @ Horry County, SC"
50,Aiw,"North Myrtle Beach",SC,"United States",Southeast,"2192 Sea Mountain Hwy, ZIP: 29582",33.8515612,-78.6558483,2192,"Sea Mountain Hwy",33.85141,-78.65604,S1400,0.02,29582,"North Myrtle Beach",51,Horry,"South Carolina",USGS,2110777,"Aiw  @ North Myrtle Beach, SC","Aiw  @ North Myrtle Beach, SC"
51,"Aiw @ Golf Course",,N/A,,N/A,,33.74072759,-78.8666928,,,,,,,,,,,,USGS,2110760,"Aiw @ Golf Course","Aiw @ Golf Course"
52,"Aiw @ Strand Airport",,N/A,,N/A,,33.82128347,-78.7186287,,,,,,,,,,,,USGS,2110770,"Aiw @ Strand Airport","Aiw @ Strand Airport"
53,"Alafia River",Bloomingdale,FL,"United States",Southeast,"901 River Rapids Ave, ZIP: 33511",27.85891477,-82.2737021,901,"River Rapids Ave",27.85943,-82.27303,S1400,0.09,33511,Bloomingdale,57,Hillsborough,Florida,USGS,2301638,"Alafia River @ Bloomingdale, FL","Alafia River @ Bloomingdale, FL"
54,"Alafia River",Gibsonton,FL,"United States",Southeast,"9499 S 50th St, ZIP: 33619",27.85974739,-82.3842598,9499,"S 50th St",27.86016,-82.38371,S1200,0.07,33619,Gibsonton,57,Hillsborough,Florida,USGS,2301721,"Alafia River @ Gibsonton, FL","Alafia River @ Gibsonton, FL near 9499 S 50th St, ZIP: 33619"
55,"Alafia River",Gibsonton,FL,"United States",Southeast,"9801 Vaughn St, ZIP: 33534",27.85696987,-82.3575926,9801,"Vaughn St",27.85672,-82.35648,S1400,0.11,33534,Gibsonton,57,Hillsborough,Florida,USGS,2301719,"Alafia River @ Gibsonton, FL","Alafia River @ Gibsonton, FL near 9801 Vaughn St, ZIP: 33534"
56,"Alafia River",Riverview,FL,"United States",Southeast,"10989 Elliot St, ZIP: 33578",27.86780308,-82.3198141,10989,"Elliot St",27.86889,-82.3198,S1400,0.12,33578,Riverview,57,Hillsborough,Florida,USGS,2301718,"Alafia River @ Riverview, FL","Alafia River @ Riverview, FL"
57,"Alameda Creek",Fremont,CA,"United States",West,"1608 California Pottery Company Rd, ZIP: 94536",37.58715679,-121.960793,1608,"California Pottery Company Rd",37.58678,-121.96064,S1400,0.04,94536,Fremont,1,Alameda,California,USGS,11179000,"Alameda Creek @ Fremont, CA","Alameda Creek @ Fremont, CA"
58,"Alamo Cn",Pleasanton,CA,"United States",West,"7215 Johnson Dr, ZIP: 94588",37.69444444,-121.9194444,7215,"Johnson Dr",37.69461,-121.91902,S1400,0.04,94588,Pleasanton,1,Alameda,California,USGS,11174600,"Alamo Cn @ Pleasanton, CA","Alamo Cn @ Pleasanton, CA"
