sampleID,date,lbs_chemical,throughput,num_regens,toc,vessel_historical_customerID
2,"7/9/2014 23:13",3,11,12,12,1
3,"7/9/2014 23:13",3,11,12,12,1
4,"7/9/2014 23:13",3,11,12,12,1
5,"7/9/2014 23:13",3,11,12,12,1
6,"7/9/2014 23:13",3,11,12,12,1
7,"7/9/2014 23:13",3,11,12,12,1
8,"7/9/2014 23:13",3,11,12,12,1
9,"7/9/2014 23:13",3,11,12,12,1
10,"7/9/2014 23:13",3,11,12,12,1
11,"7/9/2014 23:13",3,11,12,12,1
12,"7/9/2014 23:13",3,11,12,12,1
13,"7/9/2014 23:13",3,11,12,12,1
14,"7/9/2014 23:13",3,11,12,12,1
15,"7/9/2014 23:13",3,11,12,12,1
16,"7/9/2014 23:13",3,11,12,12,1
17,"7/9/2014 23:13",3,11,12,12,1
18,"7/9/2014 23:13",3,11,12,12,1
19,"7/9/2014 23:13",3,11,12,12,1
20,"3/12/2015 10:53",3,11,12,12,3
21,"3/12/2015 10:53",3,11,12,12,3
22,"3/12/2015 10:53",3,11,12,12,3
23,"3/12/2015 10:53",3,11,12,12,3
24,"3/12/2015 14:09",3,11,12,12,4
25,"3/12/2015 14:09",3,11,12,12,4
